선수,팀,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid
최재훈,한화 이글스,4.91,116,4.22,0.7,467,461,375,52,103,21,0,7,145,44,3,2,72,12,2,68,16,5,3,0.275,0.405,0.387,0.792,0.159,133.0,101709,2021,10170
정은원,한화 이글스,4.45,139,4.84,-0.4,608,604,495,85,140,22,5,6,190,39,19,11,105,1,1,105,9,4,3,0.283,0.407,0.384,0.791,0.159,132.1,131379,2021,13137
노시환,한화 이글스,4.18,107,3.61,0.56,458,451,380,56,103,18,1,18,177,84,5,2,73,1,9,107,15,0,4,0.271,0.386,0.466,0.852,0.17,141.6,141259,2021,14125
하주석,한화 이글스,2.93,138,3.17,-0.25,594,589,525,84,143,27,3,10,206,68,23,6,51,10,1,135,9,5,3,0.272,0.346,0.392,0.738,0.123,102.5,109139,2021,10913
김태연,한화 이글스,2.26,53,1.82,0.44,220,220,176,29,53,12,0,3,74,34,5,3,34,5,0,44,4,0,5,0.301,0.418,0.42,0.838,0.17,143.0,125859,2021,12585
이성곤,한화 이글스,0.85,60,0.69,0.16,206,205,172,17,46,12,2,1,65,24,0,3,29,3,0,52,4,1,1,0.267,0.38,0.378,0.758,0.141,117.7,112069,2021,11206
최인호,한화 이글스,0.53,49,0.14,0.38,164,164,136,17,28,6,0,4,46,23,2,1,24,2,0,43,1,0,2,0.206,0.329,0.338,0.667,0.105,88.2,147079,2021,14707
페레즈,한화 이글스,0.49,59,0.52,-0.03,252,252,224,26,60,15,1,5,92,33,4,5,17,4,0,52,4,0,7,0.268,0.321,0.411,0.732,0.113,94.9,149919,2021,14991
김민하,한화 이글스,0.45,46,-0.2,0.65,142,142,115,14,24,4,1,1,33,17,6,3,17,8,0,36,3,0,2,0.209,0.345,0.287,0.632,0.101,82.9,107779,2021,10777
힐리,한화 이글스,0.24,67,-0.04,0.27,268,268,249,27,64,11,1,7,98,37,2,1,16,2,0,58,6,0,1,0.257,0.306,0.394,0.7,0.105,86.3,147619,2021,14761
노수광,한화 이글스,0.17,52,0.2,-0.03,180,178,160,21,37,7,0,3,53,14,13,1,17,1,0,46,1,2,0,0.231,0.309,0.331,0.64,0.092,76.0,112689,2021,11268
장운호,한화 이글스,0.16,103,-0.36,0.52,338,331,285,36,67,10,0,0,77,28,3,6,36,7,0,77,7,7,3,0.235,0.332,0.27,0.602,0.085,70.9,111229,2021,11122
송윤준,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107489,2021,10748
김종수,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111179,2021,11117
윤대경,한화 이글스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111109,2021,11110
장민재,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,106109,2021,10610
카펜터,한화 이글스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,147609,2021,14760
임준섭,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107959,2021,10795
정우람,한화 이글스,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,101569,2021,10156
윤호솔,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111709,2021,11170
김태균,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,105529,2021,10552
